id,word ,tran 
1,expand ,mở rộng
2,expansion,(n): sự mở rộng 
3, I'm finally done writing our annual report.  ,Cuối cùng tôi đã viết xong báo cáo hàng năm của chúng ta
4,annual  ,"(v): thúc đẩy, xúc tiến "
5,annually,thúc đẩy
6,biannual,(a): sáu tháng một lần 
7,We need to promote that superior quality   more aggressively. ,Chúng ta cần thúc đẩy chất lượng vượt trội đó mạnh   mẽ hơn.
8,promote ,(v): thăng chức 
9,promotion,"(n): sự thăng chức,   khuyến mãi "
10,promotional,(a): (để) quảng cáo 
11,Mr. Endo has been promoted to vice-president   of communications. ,Ông Endo đã được thăng chức phó chủ tịch truyền thông
12,They're looking to expand their market with some   new advertisements.,Họ đang tìm cách mở rộng thị trường của mình với một   số quảng cáo mới
13,expand the business/market,mở rộng kinh doanh/thị trường
14,expand customer base,mở rộng cơ sở khách hàng
15,expand the budget,mở rộng ngân sách
16,be promoted to,được thăng chức
17,promotional material,tài liệu quảng cáo 
18,deal,"(v): đối phó, giải quyết (+ with) "
19,You've dealt with these types of issues before.,Bạn đã giải quyết những loại vấn đề này trước đây
20,That sounds like a good deal. ,Đó có vẻ là một thỏa thuận tốt
21,deal with," đối phó, giải quyết"
22,handle," đối phó, giải quyết"
23,address," đối phó, giải quyết"
24,special deal/offer, ưu đãi đặc biệt 
25,space ,"không gian, chỗ"
26,spacious,(a): rộng rãi 
27,A really popular blogger recently reviewed   the magazine.,Một người viết blog nổi tiếng mới đây đã đánh giá tạp chí.
28,popular ,"phổ biến, nổi tiếng"
29,popularity,(n): sự phổ biến 
30,popularly,phổ biến
31, postpone ,(v): trì hoãn 
32,put off  ,(v): trì hoãn 
33,Should we get there early to find a parking space? ,Chúng ta có nên đến đó sớm để tìm chỗ đậu xe không?
34, I'll have to postpone my holiday until August. ,Tôi sẽ phải trì hoãn kì nghỉ của mình đến tháng 8
35,budget  ,ngân sách
36,budgetary,dự thảo ngân sách
37,limited budget,ngân sách hạn chế 
38,over budget,vượt quá ngân sách
39, cut back,"(phr.v): cắt, giảm bớt "
40,cutback,(n): sự giảm bớt 
41,reduce,(n): sự giảm bớt 
42,curtail,(n): sự giảm bớt 
43,"If the additional cost is a problem, we can find something else to cut back on.",
44,qualified,"(a): đủ tư cách, có trình độ "
45,qualification,(n): năng lực
46,qualify ," (v): đủ điều kiện, tư cách "
47,We haven't received any applications from   qualified candidates.,Chúng tôi vẫn chưa nhận được đơn ứng tuyển nào từ   những ứng viên có trình độ
48,well-qualified,"có trình độ cao, chuyên môn tốt "
49,neighborhood  ,(n): khu phố 
50,neighbor,(n): hàng xóm
51, He found a place in a quiet neighborhood uptown.,Anh ta đã tìm được một nơi yên tĩnh ở khu phố trên
52,The project will start as soon as the budget is approved.,Dự án sẽ bắt đầu ngay khi ngân sách được duyệt
53,away,"(a): đi ra ngoài, vắng mặt "
54,She's been away on business for the last week.  ,Cô ấy đã đi ra ngoài công tác kể từ tuần trước.
55,Their offices are only a kilometer or so away.,Văn phòng của họ chỉ còn cách chừng một cây số.
56, be away on business,đi ra ngoài công tác 
57,far away from, xa từ ... 
58,correct  ,"(a): đúng, chính xác "
59,correctly,"(a): đúng, chính xác "
60,incorrect ,"sai, không đúng"
61,Is that correct? ,Điều đó có đúng không?
62,specialize,(v): chuyên về  
63,special,(a): đặc biệt 
64,specialization,(n): sự chuyên   môn hóa  
65,She specializes in drawing outdoor settings   and landscapes.  ,Cô ấy chuyên vẽ các khung cảnh ngoài trời và phong cảnh
66,specialize in,chuyên về 
67,inconvenience  ,"(n): sự bất tiện (v): làm phiền, quấy rầy "
68,convenience,sự tiện lợi 
69,I'm terribly sorry for the inconvenience.   ,Tôi rất xin lỗi vì gây ra sự bất tiện.
70,reasonable ,(a): hợp lý 
71, reasonably,hợp lý
72, Their prices are very reasonable. ,Giá của họ rất phải chăng
73,That's certainly a reasonable request. ,Đó chắc chắn là một yêu cầu hợp lý
74,at a reasonable price,với giá phải chăng  
75,turn out ,"(phr.v): hóa ra, thành ra  "
76,"It turns out my car won't be fixed for another couple  
 of days.",Hóa ra xe của tôi sẽ không phải sửa thêm vài ngày nữa.
77,advantage  ,"lợi thế, thuận lợi"
78,advantageous ,có lợi
79,disadvantage,bất lợi
80,What advantage does the new location have?,Vị trí mới có lợi thế gì?
81,take advantage of,tận dụng ... 
82, have an advantage over,có lợi thế hơn ... 
83,own  ,(v): sở hữu 
84,owner , (n): chủ nhân  
85,What type of business does the woman own?  ,Người phụ nữ sở hữu loại hình kinh doanh nào?
86,He plans to open up his own business next month.,Anh ấy định tự mở công ty của mình tháng sau
87,family-owned,thuộc sở hữu gia đình 
88,on one's own,một mình 
89,workload,(n): khối lượng công việc 
90," You were going to ask for help with our department's  
 workload, right?","Bạn đã định nhờ giúp đỡ với khối lượng công việc của  
 phòng chúng ta phải không?"
91,broken,"(a): bị hỏng, vỡ "
92,The copying machine is broken again.  ,Máy photocopy lại bị hỏng nữa
93,misplace,(v): để không đúng chỗ  
94,He misplaced a key.  ,Anh ấy đã để chiếc chìa khóa không đúng chỗ